"DESTINATION","PREFIX","RATE"
"Mexico Mobile - Zone3",521647,"0,142"
"Mexico Mobile - Zone3",521648,"0,142"
"Mexico Mobile - Zone3",521649,"0,142"
"Mexico Mobile - Zone3",521651,"0,142"
"Mexico Mobile - Zone3",521652,"0,142"
"Mexico Mobile - Zone3",521659,"0,142"
"Mexico Mobile - Zone3",521671,"0,142"
"Mexico Mobile - Zone3",521672,"0,142"
"Mexico Mobile - Zone3",521673,"0,142"
"Mexico Mobile - Zone3",521675,"0,142"
"Mexico Mobile - Zone3",521677,"0,142"
"Mexico Mobile - Zone3",521687,"0,142"
"Mexico Mobile - Zone3",521694,"0,142"
"Mexico Mobile - Zone3",521695,"0,142"
"Mexico Mobile - Zone3",521697,"0,142"
"Mexico Mobile - Zone3",521698,"0,142"
"Mexico Mobile - Zone3",521711,"0,142"
"Mexico Mobile - Zone3",521716,"0,142"
"Mexico Mobile - Zone3",521717,"0,142"
"Mexico Mobile - Zone3",521719,"0,142"
"Mexico Mobile - Zone3",521723,"0,142"
"Mexico Mobile - Zone3",521724,"0,142"
"Mexico Mobile - Zone3",521725,"0,142"
"Mexico Mobile - Zone3",521731,"0,142"
"Mexico Mobile - Zone3",521738,"0,142"
"Mexico Mobile - Zone3",521739,"0,142"
"Mexico Mobile - Zone3",521743,"0,142"
"Mexico Mobile - Zone3",521745,"0,142"
"Mexico Mobile - Zone3",521746,"0,142"
"Mexico Mobile - Zone3",521749,"0,142"
"Mexico Mobile - Zone3",521751,"0,142"
"Mexico Mobile - Zone3",521759,"0,142"
"Mexico Mobile - Zone3",521761,"0,142"
"Mexico Mobile - Zone3",521763,"0,142"
"Mexico Mobile - Zone3",521765,"0,142"
"Mexico Mobile - Zone3",521766,"0,142"
"Mexico Mobile - Zone3",521768,"0,142"
"Mexico Mobile - Zone3",521769,"0,142"
"Mexico Mobile - Zone3",521774,"0,142"
"Mexico Mobile - Zone3",521778,"0,142"
"Mexico Mobile - Zone3",521781,"0,142"
"Mexico Mobile - Zone3",521784,"0,142"
"Mexico Mobile - Zone3",521785,"0,142"
"Mexico Mobile - Zone3",521789,"0,142"
"Mexico Mobile - Zone3",521824,"0,142"
"Mexico Mobile - Zone3",521825,"0,142"
"Mexico Mobile - Zone3",521826,"0,142"
"Mexico Mobile - Zone3",521832,"0,142"
"Mexico Mobile - Zone3",521835,"0,142"
"Mexico Mobile - Zone3",521845,"0,142"
"Mexico Mobile - Zone3",521846,"0,142"
"Mexico Mobile - Zone3",521862,"0,142"
"Mexico Mobile - Zone3",521864,"0,142"
"Mexico Mobile - Zone3",521869,"0,142"
"Mexico Mobile - Zone3",521873,"0,142"
"Mexico Mobile - Zone3",521894,"0,142"
"Mexico Mobile - Zone3",521897,"0,142"
"Mexico Mobile - Zone3",521913,"0,142"
"Mexico Mobile - Zone3",521914,"0,142"
"Mexico Mobile - Zone3",521919,"0,142"
"Mexico Mobile - Zone3",521923,"0,142"
"Mexico Mobile - Zone3",521924,"0,142"
"Mexico Mobile - Zone3",521932,"0,142"
"Mexico Mobile - Zone3",521933,"0,142"
"Mexico Mobile - Zone3",521936,"0,142"
"Mexico Mobile - Zone3",521937,"0,142"
"Mexico Mobile - Zone3",521953,"0,142"
"Mexico Mobile - Zone3",521954,"0,142"
"Mexico Mobile - Zone3",521963,"0,142"
"Mexico Mobile - Zone3",521966,"0,142"
"Mexico Mobile - Zone3",521969,"0,142"
"Mexico Mobile - Zone3",521972,"0,142"
"Mexico Mobile - Zone3",521982,"0,142"
"Mexico Mobile - Zone3",521984,"0,142"
"Mexico Mobile - Zone3",521988,"0,142"
"Mexico Mobile - Zone3",521991,"0,142"
"Mexico Mobile - Zone3",521992,"0,142"
"Mexico Mobile - Zone3",521994,"0,142"
"Mexico Mobile - Zone3",521995,"0,142"
"Mexico Mobile - Zone3",521275,"0,142"
"Mexico Mobile - Zone3",521283,"0,142"
"Mexico Mobile - Zone3",521316,"0,142"
"Mexico Mobile - Zone3",521328,"0,142"
"Mexico Mobile - Zone3",521346,"0,142"
"Mexico Mobile - Zone3",521358,"0,142"
"Mexico Mobile - Zone3",521376,"0,142"
"Mexico Mobile - Zone3",521387,"0,142"
"Mexico Mobile - Zone3",521412,"0,142"
"Mexico Mobile - Zone3",521421,"0,142"
"Mexico Mobile - Zone3",521428,"0,142"
"Mexico Mobile - Zone3",521441,"0,142"
"Mexico Mobile - Zone3",521457,"0,142"
"Mexico Mobile - Zone3",521476,"0,142"
"Mexico Mobile - Zone3",521489,"0,142"
"Mexico Mobile - Zone3",521593,"0,142"
"Mexico Mobile - Zone3",521621,"0,142"
"Mexico Mobile - Zone3",521643,"0,142"
"Mexico Mobile - Zone3",521658,"0,142"
"Mexico Mobile - Zone3",521674,"0,142"
"Mexico Mobile - Zone3",521696,"0,142"
"Mexico Mobile - Zone3",521718,"0,142"
"Mexico Mobile - Zone3",521737,"0,142"
"Mexico Mobile - Zone3",521748,"0,142"
"Mexico Mobile - Zone3",521764,"0,142"
"Mexico Mobile - Zone3",521776,"0,142"
"Mexico Mobile - Zone3",521797,"0,142"
"Mexico Mobile - Zone3",521836,"0,142"
"Mexico Mobile - Zone3",521872,"0,142"
"Mexico Mobile - Zone3",521918,"0,142"
"Mexico Mobile - Zone3",521934,"0,142"
"Mexico Mobile - Zone3",521964,"0,142"
"Mexico Mobile - Zone3",521985,"0,142"
"Mexico Mobile - Zone3",521996,"0,142"
"Micronesia",691,"0,1175"
"Moldova - ROC",373,"0,029"
"Moldova - Transnistria",373210,"0,029"
"Moldova - Transnistria",373215,"0,029"
"Moldova - Transnistria",373216,"0,029"
"Moldova - Transnistria",373219,"0,029"
"Moldova - Transnistria",373533,"0,029"
"Moldova - Transnistria",373552,"0,029"
"Moldova - Transnistria",373555,"0,029"
"Moldova - Transnistria",373557,"0,029"
"Moldova Mobile - Moldcell",37378,"0,097"
"Moldova Mobile - Moldcell",37379,"0,097"
"Moldova Mobile - Orange",37360,"0,097"
"Moldova Mobile - Orange",37368,"0,097"
"Moldova Mobile - Orange",37369,"0,097"
"Moldova Mobile - Other",373671,"0,097"
"Moldova Mobile - Other",373672,"0,097"
"Moldova Mobile - Other",373673,"0,097"
"Moldova Mobile - Other",373674,"0,097"
"Moldova Mobile - Other",373675,"0,097"
"Moldova Mobile - Other",373650,"0,097"
"Moldova Mobile - Other",37377,"0,097"
"Monaco",377,"0,0121"
"Monaco Mobile",3774,"0,056"
"Monaco Mobile",3776,"0,056"
"Mongolia",976,"0,1175"
"Mongolia Mobile",97655,"0,1175"
"Mongolia Mobile",97656,"0,1175"
"Mongolia Mobile",97658,"0,1175"
"Mongolia Mobile",9768,"0,1175"
"Mongolia Mobile",9769,"0,1175"
"Mongolia Mobile",97650,"0,1175"
"Montenegro",382,"0,097"
"Montenegro Mobile",38267,"0,097"
"Montenegro Mobile",38268,"0,097"
"Montenegro Mobile",38269,"0,097"
"Montenegro Mobile",38263,"0,097"
"Montserrat",1664,"0,1557"
"Morocco - Meditel",212520,"0,0192"
"Morocco - Meditel",212521,"0,0192"
"Morocco - Meditel",212525,"0,0192"
"Morocco - Meditel",212530,"0,0192"
"Morocco - Meditel",212531,"0,0192"
"Morocco - Meditel",212532,"0,0192"
"Morocco - ROC",212,"0,0192"
"Morocco - ROC",2125,"0,0192"
"Morocco - Wana",212529,"0,0192"
"Morocco - Wana",212538,"0,0192"
"Morocco - Wana LM",212526,"0,0192"
"Morocco - Wana LM",212527,"0,0192"
"Morocco - Wana LM",212533,"0,0192"
"Morocco - Wana LM",212534,"0,0192"
"Morocco - Wana LM",212540,"0,0192"
"Morocco - Wana LM",212546,"0,0192"
"Morocco - Wana LM",212547,"0,0192"
"Morocco - Wana LM",212550,"0,0192"
"Morocco - Wana LM",212553,"0,0192"
"Morocco Mobile - Maroc Telecom",2126,"0,122"
"Morocco Mobile - Meditel",212612,"0,122"
"Morocco Mobile - Meditel",212614,"0,122"
"Morocco Mobile - Meditel",212617,"0,122"
"Morocco Mobile - Meditel",212619,"0,122"
"Morocco Mobile - Meditel",212620,"0,122"
"Morocco Mobile - Meditel",212621,"0,122"
"Morocco Mobile - Meditel",212644,"0,122"
"Morocco Mobile - Meditel",212645,"0,122"
"Morocco Mobile - Meditel",212649,"0,122"
"Morocco Mobile - Meditel",212656,"0,122"
"Morocco Mobile - Meditel",212657,"0,122"
"Morocco Mobile - Meditel",212660,"0,122"
"Morocco Mobile - Meditel",212663,"0,122"
"Morocco Mobile - Meditel",212664,"0,122"
"Morocco Mobile - Meditel",212665,"0,122"
"Morocco Mobile - Meditel",212669,"0,122"
"Morocco Mobile - Meditel",212674,"0,122"
"Morocco Mobile - Meditel",212675,"0,122"
"Morocco Mobile - Meditel",212679,"0,122"
"Morocco Mobile - Wana",212600,"0,122"
"Morocco Mobile - Wana",212601,"0,122"
"Morocco Mobile - Wana",212602,"0,122"
"Morocco Mobile - Wana",212603,"0,122"
"Morocco Mobile - Wana",212604,"0,122"
"Morocco Mobile - Wana",212605,"0,122"
"Morocco Mobile - Wana",212606,"0,122"
"Morocco Mobile - Wana",212626,"0,122"
"Morocco Mobile - Wana",212627,"0,122"
"Morocco Mobile - Wana",212629,"0,122"
"Morocco Mobile - Wana",212630,"0,122"
"Morocco Mobile - Wana",212633,"0,122"
"Morocco Mobile - Wana",212634,"0,122"
"Morocco Mobile - Wana",212635,"0,122"
"Morocco Mobile - Wana",212638,"0,122"
"Morocco Mobile - Wana",212640,"0,122"
"Morocco Mobile - Wana",212646,"0,122"
"Morocco Mobile - Wana",212647,"0,122"
"Morocco Mobile - Wana",212680,"0,122"
"Morocco Mobile - Wana",212681,"0,122"
"Morocco Mobile - Wana",212699,"0,122"
"Mozambique",258,"0,109"
"Mozambique Mobile - mCel",25882,"0,122"
"Mozambique Mobile - Other",25886,"0,122"
"Mozambique Mobile - Vodacom",25884,"0,122"
"Myanmar",95,"0,1175"
"Namibia",264,"0,2236"
"Namibia Mobile - LEO",26460,"0,2236"
"Namibia Mobile - LEO",26482,"0,2236"
"Namibia Mobile - LEO",26485,"0,2236"
"Namibia Mobile - MTC",26481,"0,2236"
"Nauru",674,"0,1175"
"Nepal",977,"0,1175"
"Nepal Mobile",977961,"0,1175"
"Nepal Mobile",97798,"0,1175"
"Netherlands",31,"0,0121"
"Netherlands Antilles",599,"0,0121"
"Netherlands Antilles Mobile",5993181,"0,056"
"Netherlands Antilles Mobile",5993184,"0,056"
"Netherlands Antilles Mobile",5993185,"0,056"
"Netherlands Antilles Mobile",5993186,"0,056"
"Netherlands Antilles Mobile",5994161,"0,056"
"Netherlands Antilles Mobile",5994165,"0,056"
"Netherlands Antilles Mobile",5994166,"0,056"
"Netherlands Antilles Mobile",5994167,"0,056"
"Netherlands Antilles Mobile",5994168,"0,056"
"Netherlands Antilles Mobile",599510,"0,056"
"Netherlands Antilles Mobile",599511,"0,056"
"Netherlands Antilles Mobile",59952,"0,056"
"Netherlands Antilles Mobile",59955,"0,056"
"Netherlands Antilles Mobile",599580,"0,056"
"Netherlands Antilles Mobile",599581,"0,056"
"Netherlands Antilles Mobile",599586,"0,056"
"Netherlands Antilles Mobile",599587,"0,056"
"Netherlands Antilles Mobile",599588,"0,056"
"Netherlands Antilles Mobile",59970,"0,056"
"Netherlands Antilles Mobile",59978,"0,056"
"Netherlands Antilles Mobile",59979,"0,056"
"Netherlands Antilles Mobile",599951,"0,056"
"Netherlands Antilles Mobile",599952,"0,056"
"Netherlands Antilles Mobile",599954,"0,056"
"Netherlands Antilles Mobile",599955,"0,056"
"Netherlands Antilles Mobile",599956,"0,056"
"Netherlands Antilles Mobile",59996,"0,056"
"Netherlands Mobile - KPN Mobile",31610,"0,056"
"Netherlands Mobile - KPN Mobile",31612,"0,056"
"Netherlands Mobile - KPN Mobile",31613,"0,056"
"Netherlands Mobile - KPN Mobile",31620,"0,056"
"Netherlands Mobile - KPN Mobile",31622,"0,056"
"Netherlands Mobile - KPN Mobile",31623,"0,056"
"Netherlands Mobile - KPN Mobile",31630,"0,056"
"Netherlands Mobile - KPN Mobile",31651,"0,056"
"Netherlands Mobile - KPN Mobile",31653,"0,056"
"Netherlands Mobile - KPN Mobile",31657,"0,056"
"Netherlands Mobile - KPN Mobile",31665,"0,056"
"Netherlands Mobile - KPN Mobile",31682,"0,056"
"Netherlands Mobile - KPN Mobile",31683,"0,056"
"Netherlands Mobile - O2",31616,"0,056"
"Netherlands Mobile - O2",31617,"0,056"
"Netherlands Mobile - O2",31619,"0,056"
"Netherlands Mobile - O2",31626,"0,056"
"Netherlands Mobile - O2",31633,"0,056"
"Netherlands Mobile - O2",31644,"0,056"
"Netherlands Mobile - O2",31645,"0,056"
"Netherlands Mobile - O2",31647,"0,056"
"Netherlands Mobile - O2",31649,"0,056"
"Netherlands Mobile - Other",316,"0,056"
"Netherlands Mobile - T-Mobile",31614,"0,056"
"Netherlands Mobile - T-Mobile",31618,"0,056"
"Netherlands Mobile - T-Mobile",31624,"0,056"
"Netherlands Mobile - T-Mobile",31628,"0,056"
"Netherlands Mobile - T-Mobile",31634,"0,056"
"Netherlands Mobile - T-Mobile",31638,"0,056"
"Netherlands Mobile - T-Mobile",31639,"0,056"
"Netherlands Mobile - T-Mobile",31641,"0,056"
"Netherlands Mobile - T-Mobile",31642,"0,056"
"Netherlands Mobile - T-Mobile",31643,"0,056"
"Netherlands Mobile - T-Mobile",31648,"0,056"
"Netherlands Mobile - T-Mobile",31681,"0,056"
"Netherlands Mobile - Vodafone",31615,"0,056"
"Netherlands Mobile - Vodafone",31611,"0,056"
"Netherlands Mobile - Vodafone",31621,"0,056"
"Netherlands Mobile - Vodafone",31625,"0,056"
"Netherlands Mobile - Vodafone",31627,"0,056"
"Netherlands Mobile - Vodafone",31629,"0,056"
"Netherlands Mobile - Vodafone",31631,"0,056"
"Netherlands Mobile - Vodafone",31646,"0,056"
"Netherlands Mobile - Vodafone",31650,"0,056"
"Netherlands Mobile - Vodafone",31652,"0,056"
"Netherlands Mobile - Vodafone",31654,"0,056"
"Netherlands Mobile - Vodafone",31655,"0,056"
"Netherlands Mobile - Vodafone",31680,"0,056"
"Netherlands Mobile - Vodafone",31637,"0,056"
"New Caledonia",687,"0,1175"
"New Caledonia Mobile",6877,"0,1175"
"New Caledonia Mobile",6878,"0,1175"
"New Caledonia Mobile",6879,"0,1175"
"New Zealand",64,"0,1175"
"New Zealand Mobile",642,"0,1175"
"Nicaragua",505,"0,1557"
"Nicaragua Mobile",505501,"0,142"
"Nicaragua Mobile",505502,"0,142"
"Nicaragua Mobile",505503,"0,142"
"Nicaragua Mobile",505504,"0,142"
"Nicaragua Mobile",505506,"0,142"
"Nicaragua Mobile",505507,"0,142"
"Nicaragua Mobile",50560,"0,142"
"Nicaragua Mobile",505610,"0,142"
"Nicaragua Mobile",505613,"0,142"
"Nicaragua Mobile",505614,"0,142"
"Nicaragua Mobile",505615,"0,142"
"Nicaragua Mobile",505616,"0,142"
"Nicaragua Mobile",505618,"0,142"
"Nicaragua Mobile",505623,"0,142"
"Nicaragua Mobile",505624,"0,142"
"Nicaragua Mobile",505625,"0,142"
"Nicaragua Mobile",505626,"0,142"
"Nicaragua Mobile",5058,"0,142"
"Nicaragua Mobile",505505,"0,142"
"Nicaragua Mobile",505611,"0,142"
"Nicaragua Mobile",505617,"0,142"
"Nicaragua Mobile",505627,"0,142"
"Niger",227,"0,2236"
"Niger Mobile",22723,"0,2236"
"Niger Mobile",2279,"0,2236"
"Nigeria",234,"0,2236"
"Nigeria Mobile - Airtel",234708,"0,2236"
"Nigeria Mobile - Airtel",234808,"0,2236"
"Nigeria Mobile - Airtel",234812,"0,2236"
"Nigeria Mobile - Airtel",234802,"0,2236"
"Nigeria Mobile - Globalcom",234705,"0,2236"
"Nigeria Mobile - Globalcom",234805,"0,2236"
"Nigeria Mobile - Globalcom",234807,"0,2236"
"Nigeria Mobile - MTN",234703,"0,2236"
"Nigeria Mobile - MTN",234706,"0,2236"
"Nigeria Mobile - MTN",234803,"0,2236"
"Nigeria Mobile - MTN",234806,"0,2236"
"Nigeria Mobile - MTN",234813,"0,2236"
"Nigeria Mobile - Nitel (MTEL)",234804,"0,2236"
"Nigeria Mobile - Other",23470,"0,2236"
"Nigeria Mobile - Other",23480,"0,2236"
"Nigeria Mobile - Other",234818,"0,2236"
"Nigeria Mobile - Other",234819,"0,2236"
"Nigeria Mobile - Other",23490,"0,2236"
"Niue",683,"0,1175"
"Norfolk Island",672,"0,1175"
"North Korea",850,"0,1175"
"Northern Mariana Islands",1670,"0,1175"
"Northern Mariana Islands Mobile",1670286,"0,1175"
"Northern Mariana Islands Mobile",1670483,"0,1175"
"Northern Mariana Islands Mobile",1670287,"0,1175"
"Norway",47,"0,0121"
"Norway Mobile - NetCom",474001,"0,056"
"Norway Mobile - NetCom",474010,"0,056"
"Norway Mobile - NetCom",474011,"0,056"
"Norway Mobile - NetCom",474014,"0,056"
"Norway Mobile - NetCom",47403,"0,056"
"Norway Mobile - NetCom",474045,"0,056"
"Norway Mobile - NetCom",474046,"0,056"
"Norway Mobile - NetCom",474047,"0,056"
"Norway Mobile - NetCom",474049,"0,056"
"Norway Mobile - NetCom",474050,"0,056"
"Norway Mobile - NetCom",474055,"0,056"
"Norway Mobile - NetCom",474060,"0,056"
"Norway Mobile - NetCom",474061,"0,056"
"Norway Mobile - NetCom",474063,"0,056"
"Norway Mobile - NetCom",474064,"0,056"
"Norway Mobile - NetCom",47407,"0,056"
"Norway Mobile - NetCom",474100,"0,056"
"Norway Mobile - NetCom",474106,"0,056"
"Norway Mobile - NetCom",474107,"0,056"
"Norway Mobile - NetCom",474117,"0,056"
"Norway Mobile - NetCom",474118,"0,056"
"Norway Mobile - NetCom",474119,"0,056"
"Norway Mobile - NetCom",47451,"0,056"
"Norway Mobile - NetCom",47452,"0,056"
"Norway Mobile - NetCom",474539,"0,056"
"Norway Mobile - NetCom",47454,"0,056"
"Norway Mobile - NetCom",474550,"0,056"
"Norway Mobile - NetCom",474551,"0,056"
"Norway Mobile - NetCom",474559,"0,056"
"Norway Mobile - NetCom",474566,"0,056"
"Norway Mobile - NetCom",474567,"0,056"
"Norway Mobile - NetCom",474568,"0,056"
"Norway Mobile - NetCom",474569,"0,056"
"Norway Mobile - NetCom",474576,"0,056"
"Norway Mobile - NetCom",474577,"0,056"
"Norway Mobile - NetCom",474578,"0,056"
"Norway Mobile - NetCom",474579,"0,056"
"Norway Mobile - NetCom",474583,"0,056"
"Norway Mobile - NetCom",474584,"0,056"
"Norway Mobile - NetCom",474586,"0,056"
"Norway Mobile - NetCom",474593,"0,056"
"Norway Mobile - NetCom",474594,"0,056"
"Norway Mobile - NetCom",47464,"0,056"
"Norway Mobile - NetCom",474650,"0,056"
"Norway Mobile - NetCom",474654,"0,056"
"Norway Mobile - NetCom",474660,"0,056"
"Norway Mobile - NetCom",474661,"0,056"
"Norway Mobile - NetCom",474662,"0,056"
"Norway Mobile - NetCom",474663,"0,056"
"Norway Mobile - NetCom",474670,"0,056"
"Norway Mobile - NetCom",474673,"0,056"
"Norway Mobile - NetCom",474674,"0,056"
"Norway Mobile - NetCom",474675,"0,056"
"Norway Mobile - NetCom",474714,"0,056"
"Norway Mobile - NetCom",474715,"0,056"
"Norway Mobile - NetCom",474716,"0,056"
"Norway Mobile - NetCom",474717,"0,056"
"Norway Mobile - NetCom",474720,"0,056"
"Norway Mobile - NetCom",474721,"0,056"
"Norway Mobile - NetCom",474722,"0,056"
"Norway Mobile - NetCom",474744,"0,056"
"Norway Mobile - NetCom",474754,"0,056"
"Norway Mobile - NetCom",474757,"0,056"
"Norway Mobile - NetCom",474758,"0,056"
"Norway Mobile - NetCom",474759,"0,056"
"Norway Mobile - NetCom",474833,"0,056"
"Norway Mobile - NetCom",474834,"0,056"
"Norway Mobile - NetCom",474837,"0,056"
"Norway Mobile - NetCom",474840,"0,056"
"Norway Mobile - NetCom",474849,"0,056"
"Norway Mobile - NetCom",474850,"0,056"
"Norway Mobile - NetCom",474859,"0,056"
"Norway Mobile - NetCom",474893,"0,056"
"Norway Mobile - NetCom",475800070,"0,056"
"Norway Mobile - NetCom",475800071,"0,056"
"Norway Mobile - NetCom",475800072,"0,056"
"Norway Mobile - NetCom",475800073,"0,056"
"Norway Mobile - NetCom",475800074,"0,056"
"Norway Mobile - NetCom",475800075,"0,056"
"Norway Mobile - NetCom",475931,"0,056"
"Norway Mobile - NetCom",475932,"0,056"
"Norway Mobile - NetCom",47598,"0,056"
"Norway Mobile - NetCom",47599,"0,056"
"Norway Mobile - NetCom",47920,"0,056"
"Norway Mobile - NetCom",479210,"0,056"
"Norway Mobile - NetCom",479217,"0,056"
"Norway Mobile - NetCom",47922,"0,056"
"Norway Mobile - NetCom",47924,"0,056"
"Norway Mobile - NetCom",479257,"0,056"
"Norway Mobile - NetCom",47926,"0,056"
"Norway Mobile - NetCom",479277,"0,056"
"Norway Mobile - NetCom",479297,"0,056"
"Norway Mobile - NetCom",47930,"0,056"
"Norway Mobile - NetCom",479317,"0,056"
"Norway Mobile - NetCom",47932,"0,056"
"Norway Mobile - NetCom",47934,"0,056"
"Norway Mobile - NetCom",479357,"0,056"
"Norway Mobile - NetCom",47936,"0,056"
"Norway Mobile - NetCom",479377,"0,056"
"Norway Mobile - NetCom",47938,"0,056"
"Norway Mobile - NetCom",479410,"0,056"
"Norway Mobile - NetCom",479411,"0,056"
"Norway Mobile - NetCom",479412,"0,056"
"Norway Mobile - NetCom",47942,"0,056"
"Norway Mobile - NetCom",479443,"0,056"
"Norway Mobile - NetCom",479447,"0,056"
"Norway Mobile - NetCom",479448,"0,056"
"Norway Mobile - NetCom",479449,"0,056"
"Norway Mobile - NetCom",479664,"0,056"
"Norway Mobile - NetCom",47980,"0,056"
"Norway Mobile - NetCom",479815,"0,056"
"Norway Mobile - NetCom",479819,"0,056"
"Norway Mobile - NetCom",47982,"0,056"
"Norway Mobile - NetCom",479837,"0,056"
"Norway Mobile - NetCom",47984,"0,056"
"Norway Mobile - NetCom",479854,"0,056"
"Norway Mobile - NetCom",47986,"0,056"
"Norway Mobile - NetCom",479876,"0,056"
"Norway Mobile - NetCom",479899,"0,056"
"Norway Mobile - NetCom",479967,"0,056"
"Norway Mobile - NetCom",479968,"0,056"
"Norway Mobile - NetCom",474000,"0,056"
"Norway Mobile - NetCom",47402,"0,056"
"Norway Mobile - NetCom",474048,"0,056"
"Norway Mobile - NetCom",474062,"0,056"
"Norway Mobile - NetCom",474101,"0,056"
"Norway Mobile - NetCom",47450,"0,056"
"Norway Mobile - NetCom",479237,"0,056"
"Norway Mobile - NetCom",47928,"0,056"
"Norway Mobile - NetCom",479337,"0,056"
"Norway Mobile - NetCom",479391,"0,056"
"Norway Mobile - NetCom",479442,"0,056"
"Norway Mobile - NetCom",479692,"0,056"
"Norway Mobile - NetCom",479830,"0,056"
"Norway Mobile - NetCom",47988,"0,056"
"Norway Mobile - Others",4702,"0,056"
"Norway Mobile - Others",4704,"0,056"
"Norway Mobile - Others",4705,"0,056"
"Norway Mobile - Others",4706,"0,056"
"Norway Mobile - Others",4707,"0,056"
"Norway Mobile - Others",4709,"0,056"
"Norway Mobile - Others",471,"0,056"
"Norway Mobile - Others",474,"0,056"
"Norway Mobile - Others",4758,"0,056"
"Norway Mobile - Others",4759,"0,056"
"Norway Mobile - Others",47815,"0,056"
"Norway Mobile - Others",479,"0,056"
"Norway Mobile - Others",4703,"0,056"
"Norway Mobile - Others",4708,"0,056"
"Norway Mobile - Others",47810,"0,056"
"Norway Mobile - Telenor",474004,"0,056"
"Norway Mobile - Telenor",474005,"0,056"
"Norway Mobile - Telenor",474007,"0,056"
"Norway Mobile - Telenor",474008,"0,056"
"Norway Mobile - Telenor",474009,"0,056"
"Norway Mobile - Telenor",474015,"0,056"
"Norway Mobile - Telenor",474016,"0,056"
"Norway Mobile - Telenor",474018,"0,056"
"Norway Mobile - Telenor",474019,"0,056"
"Norway Mobile - Telenor",474084,"0,056"
"Norway Mobile - Telenor",474085,"0,056"
"Norway Mobile - Telenor",474087,"0,056"
"Norway Mobile - Telenor",474088,"0,056"
"Norway Mobile - Telenor",474089,"0,056"
"Norway Mobile - Telenor",474110,"0,056"
"Norway Mobile - Telenor",474111,"0,056"
"Norway Mobile - Telenor",474113,"0,056"
"Norway Mobile - Telenor",474114,"0,056"
"Norway Mobile - Telenor",474115,"0,056"
"Norway Mobile - Telenor",474116,"0,056"
"Norway Mobile - Telenor",47415,"0,056"
"Norway Mobile - Telenor",47416,"0,056"
"Norway Mobile - Telenor",47417,"0,056"
"Norway Mobile - Telenor",474184,"0,056"
"Norway Mobile - Telenor",474185,"0,056"
"Norway Mobile - Telenor",474581,"0,056"
"Norway Mobile - Telenor",474582,"0,056"
"Norway Mobile - Telenor",474585,"0,056"
"Norway Mobile - Telenor",474588,"0,056"
"Norway Mobile - Telenor",474616,"0,056"
"Norway Mobile - Telenor",474617,"0,056"
"Norway Mobile - Telenor",474618,"0,056"
"Norway Mobile - Telenor",474619,"0,056"
"Norway Mobile - Telenor",474628,"0,056"
"Norway Mobile - Telenor",474666,"0,056"
"Norway Mobile - Telenor",474667,"0,056"
"Norway Mobile - Telenor",47468,"0,056"
"Norway Mobile - Telenor",474690,"0,056"
"Norway Mobile - Telenor",474691,"0,056"
"Norway Mobile - Telenor",474693,"0,056"
"Norway Mobile - Telenor",474694,"0,056"
"Norway Mobile - Telenor",474695,"0,056"
"Norway Mobile - Telenor",474696,"0,056"
"Norway Mobile - Telenor",474719,"0,056"
"Norway Mobile - Telenor",474750,"0,056"
"Norway Mobile - Telenor",474751,"0,056"
"Norway Mobile - Telenor",47476,"0,056"
"Norway Mobile - Telenor",474770,"0,056"
"Norway Mobile - Telenor",474771,"0,056"
"Norway Mobile - Telenor",474775,"0,056"
"Norway Mobile - Telenor",474776,"0,056"
"Norway Mobile - Telenor",474778,"0,056"
"Norway Mobile - Telenor",47478,"0,056"
"Norway Mobile - Telenor",474790,"0,056"
"Norway Mobile - Telenor",474798,"0,056"
"Norway Mobile - Telenor",474799,"0,056"
"Norway Mobile - Telenor",47480,"0,056"
"Norway Mobile - Telenor",47481,"0,056"
"Norway Mobile - Telenor",47482,"0,056"
"Norway Mobile - Telenor",474830,"0,056"
"Norway Mobile - Telenor",474842,"0,056"
"Norway Mobile - Telenor",47591,"0,056"
"Norway Mobile - Telenor",47592,"0,056"
"Norway Mobile - Telenor",47595,"0,056"
"Norway Mobile - Telenor",47900,"0,056"
"Norway Mobile - Telenor",47901,"0,056"
"Norway Mobile - Telenor",47902,"0,056"
"Norway Mobile - Telenor",479036,"0,056"
"Norway Mobile - Telenor",479040,"0,056"
"Norway Mobile - Telenor",479041,"0,056"
"Norway Mobile - Telenor",479047,"0,056"
"Norway Mobile - Telenor",47905,"0,056"
"Norway Mobile - Telenor",47906,"0,056"
"Norway Mobile - Telenor",47907,"0,056"
"Norway Mobile - Telenor",47908,"0,056"
"Norway Mobile - Telenor",47909,"0,056"
"Norway Mobile - Telenor",479100,"0,056"
"Norway Mobile - Telenor",47911,"0,056"
"Norway Mobile - Telenor",479124,"0,056"
"Norway Mobile - Telenor",47913,"0,056"
"Norway Mobile - Telenor",47915,"0,056"
"Norway Mobile - Telenor",47916,"0,056"
"Norway Mobile - Telenor",47917,"0,056"
"Norway Mobile - Telenor",47918,"0,056"
"Norway Mobile - Telenor",479191,"0,056"
"Norway Mobile - Telenor",479199,"0,056"
"Norway Mobile - Telenor",479400,"0,056"
"Norway Mobile - Telenor",479401,"0,056"
"Norway Mobile - Telenor",479402,"0,056"
"Norway Mobile - Telenor",479403,"0,056"
"Norway Mobile - Telenor",479405,"0,056"
"Norway Mobile - Telenor",479413,"0,056"
"Norway Mobile - Telenor",479414,"0,056"
